date;bing.com;calendar.google.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;facebook.com;familia-losruedaposadamv.on.drv.tw;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rappi.com.co;roblox.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;udeaeduco-my.sharepoint.com;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-07-29;44.0;25.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;8.0;5.0;19.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;6.0;6.0;0.0;19.0;193.0
2023-07-30;58.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;11.0;27.0;0.0;12.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;15.0;34.0;0.0;30.0;248.0
2023-07-31;25.0;10.0;6.0;0.0;0.0;10.0;14.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;7.0;0.0;10.0;16.0;0.0;5.0;168.0
2023-08-01;30.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;4.0;1.0;0.0;3.0;77.0
2023-08-02;42.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;58.0
2023-08-03;18.0;0.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;76.0
2023-08-04;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;8.0;0.0;14.0;51.0
2023-08-05;44.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;2.0;0.0;13.0;93.0
2023-08-06;40.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;2.0;5.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;4.0;0.0;0.0;13.0;0.0;28.0;131.0
2023-08-07;44.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;9.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;18.0;131.0
2023-08-08;13.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;15.0;0.0;3.0;53.0
2023-08-09;6.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;27.0
2023-08-10;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;10.0;32.0
2023-08-11;8.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;38.0
2023-08-12;48.0;0.0;19.0;3.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;8.0;0.0;5.0;18.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;33.0;0.0;9.0;171.0
2023-08-13;50.0;0.0;27.0;19.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;8.0;6.0;9.0;0.0;11.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;8.0;4.0;19.0;203.0
2023-08-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-08-16;46.0;0.0;20.0;39.0;0.0;18.0;7.0;0.0;1.0;65.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;33.0;0.0;18.0;271.0
2023-08-17;9.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;14.0;46.0
2023-08-18;11.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;22.0
2023-08-19;36.0;0.0;18.0;13.0;9.0;7.0;26.0;0.0;0.0;16.0;0.0;12.0;2.0;17.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.0;0.0;20.0;201.0
2023-08-20;58.0;0.0;15.0;10.0;13.0;0.0;14.0;0.0;0.0;6.0;0.0;29.0;0.0;14.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;46.0;0.0;10.0;227.0
2023-08-21;25.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;9.0;9.0;0.0;0.0;6.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;22.0;0.0;25.0;117.0
2023-08-22;25.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;9.0;69.0
2023-08-23;8.0;0.0;2.0;3.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;1.0;1.0;12.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;55.0
2023-08-24;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;0.0;5.0;36.0
2023-08-25;22.0;0.0;12.0;13.0;0.0;0.0;16.0;4.0;0.0;0.0;0.0;0.0;3.0;1.0;13.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;4.0;19.0;146.0
2023-08-26;22.0;0.0;0.0;0.0;0.0;0.0;16.0;8.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;22.0;88.0
2023-08-27;55.0;0.0;26.0;20.0;0.0;1.0;27.0;10.0;0.0;18.0;0.0;6.0;1.0;8.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;22.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;20.0;25.0;13.0;260.0
2023-08-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
