date;bing.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-09-04;7.43;1.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;1.2;0.0;12.36
2023-09-05;3.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.77;15.6;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.43;6.7;106.77;139.28
2023-09-06;6.55;1.12;0.0;0.0;0.0;0.85;0.0;0.0;0.45;1.25;33.23;3.45;0.0;0.0;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.32;2.03;155.05;205.85000000000002
2023-09-07;0.9;19.93;0.0;0.0;0.0;1.12;0.0;0.0;0.45;0.0;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.23;0.0;0.0;5.9;0.0;60.65;92.53
2023-09-09;5.3;13.3;8.43;2.07;0.0;1.97;0.0;0.0;11.77;0.0;86.98;24.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.62;1.62;0.0;15.37;0.0;261.52;443.42999999999995
2023-09-10;1.45;4.9;4.18;9.75;0.0;7.85;0.0;0.0;29.45;0.0;60.22;0.53;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.15;3.05;0.0;28.75;0.0;206.13;361.88
2023-09-11;0.42;0.0;3.23;11.05;0.0;4.45;0.0;0.0;5.43;0.0;10.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.97;5.5;0.0;42.22
2023-09-12;0.0;0.0;0.0;0.0;0.0;5.2;0.0;0.0;0.0;0.0;31.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;38.14
2023-09-13;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.58;67.53
2023-09-15;0.55;0.0;0.0;0.0;0.0;7.55;0.0;0.0;0.0;0.0;20.57;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.17;86.34
