date;chat.openai.com;facebook.com;google.com;instagram.com;page.didiglobal.com;tiktok.com;udea.edu.co;total_usage
2023-11-16;0.0;0.0;3.0;0.0;0.0;7.0;9.0;19.0
2023-11-17;0.0;1.0;9.0;6.0;0.0;7.0;14.0;37.0
2023-11-18;0.0;0.0;8.0;1.0;2.0;0.0;7.0;18.0
2023-11-19;0.0;0.0;6.0;1.0;15.0;0.0;4.0;26.0
2023-11-20;0.0;0.0;3.0;2.0;0.0;7.0;0.0;12.0
2023-11-21;0.0;0.0;8.0;0.0;2.0;1.0;2.0;13.0
2023-11-22;0.0;0.0;5.0;0.0;5.0;0.0;23.0;33.0
2023-11-23;0.0;0.0;3.0;0.0;8.0;1.0;3.0;15.0
2023-11-24;0.0;2.0;4.0;0.0;0.0;0.0;3.0;9.0
2023-11-26;0.0;0.0;1.0;1.0;2.0;4.0;1.0;9.0
2023-11-27;0.0;2.0;3.0;7.0;2.0;0.0;4.0;18.0
2023-11-28;0.0;0.0;15.0;6.0;0.0;0.0;6.0;27.0
2023-11-29;0.0;0.0;1.0;0.0;0.0;1.0;5.0;7.0
2023-11-30;0.0;0.0;3.0;0.0;7.0;0.0;0.0;10.0
2023-12-01;0.0;0.0;12.0;0.0;0.0;0.0;0.0;12.0
2023-12-02;0.0;0.0;9.0;0.0;0.0;0.0;8.0;17.0
2023-12-03;0.0;0.0;6.0;0.0;0.0;0.0;1.0;7.0
2023-12-04;0.0;0.0;33.0;0.0;0.0;2.0;4.0;39.0
2023-12-05;0.0;0.0;2.0;0.0;0.0;0.0;3.0;5.0
2023-12-06;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
2023-12-08;0.0;0.0;9.0;3.0;3.0;0.0;0.0;15.0
2023-12-09;0.0;0.0;5.0;1.0;0.0;0.0;0.0;6.0
2023-12-10;0.0;0.0;4.0;1.0;6.0;0.0;0.0;11.0
2023-12-11;0.0;0.0;2.0;0.0;1.0;0.0;0.0;3.0
2023-12-12;0.0;1.0;1.0;1.0;0.0;7.0;0.0;10.0
2023-12-14;0.0;0.0;8.0;1.0;0.0;0.0;9.0;18.0
2023-12-15;0.0;4.0;10.0;0.0;8.0;2.0;6.0;30.0
2023-12-16;0.0;6.0;3.0;0.0;0.0;0.0;0.0;9.0
2023-12-17;0.0;0.0;4.0;0.0;2.0;0.0;0.0;6.0
2023-12-18;0.0;3.0;9.0;1.0;2.0;0.0;0.0;15.0
2023-12-19;0.0;4.0;18.0;0.0;0.0;2.0;0.0;24.0
2023-12-20;0.0;1.0;6.0;0.0;0.0;2.0;0.0;9.0
2023-12-21;0.0;0.0;18.0;0.0;0.0;0.0;0.0;18.0
2023-12-22;4.0;2.0;10.0;0.0;0.0;2.0;0.0;18.0
2023-12-25;0.0;0.0;4.0;1.0;8.0;0.0;0.0;13.0
2023-12-27;0.0;4.0;19.0;0.0;0.0;0.0;0.0;23.0
2023-12-28;0.0;1.0;13.0;1.0;0.0;0.0;3.0;18.0
2023-12-31;0.0;0.0;4.0;0.0;0.0;0.0;1.0;5.0
2024-01-01;0.0;1.0;3.0;1.0;0.0;0.0;0.0;5.0
2024-01-02;0.0;16.0;5.0;0.0;0.0;0.0;0.0;21.0
2024-01-04;0.0;2.0;9.0;0.0;1.0;1.0;0.0;13.0
2024-01-06;0.0;0.0;10.0;0.0;3.0;0.0;0.0;13.0
2024-01-07;0.0;0.0;8.0;0.0;3.0;0.0;0.0;11.0
2024-01-08;0.0;0.0;19.0;0.0;0.0;10.0;0.0;29.0
