date;bing.com;chat.openai.com;colab.research.google.com;coursera.org;docs.google.com;drive.google.com;github.com;instagram.com;kaggle.com;learn.deeplearning.ai;mail.google.com;meet.google.com;netflix.com;udeaeduco-my.sharepoint.com;upwork.com;web.whatsapp.com;wolframalpha.com;youtube.com;total_usage;classroom.google.com;es.symbolab.com;freelancer.com.co;google.com;hbomax.com;linkedin.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;whatsapp.com
2023-07-24;0.7;0.05;0.0;0.0;0.0;0.0;0.0;1.23;11.55;0.0;6.15;0.0;0.0;0.0;0.0;0.0;0.0;23.43;64.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.65;12.18
2023-07-25;0.0;2.85;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-07-26;4.0;23.53;0.0;0.0;0.0;0.0;0.0;6.53;0.0;0.0;0.58;0.0;0.0;0.0;13.27;0.0;0.0;73.53;121.71;0.0;0.0;0.0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0
2023-07-27;2.32;0.0;0.0;0.0;0.0;0.0;1.82;0.0;0.0;0.0;3.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;2.15;0.83;0.0
2023-07-28;9.18;23.28;0.0;0.0;0.0;0.0;8.33;0.93;15.78;0.0;0.72;0.0;0.0;0.0;69.4;0.0;0.0;70.12;320.21000000000004;0.0;0.0;0.0;0.47;0.0;112.3;0.0;0.0;0.0;0.0;0.0;0.27;0.0;9.43
2023-07-29;9.27;10.57;0.0;0.0;0.0;0.0;0.43;5.17;70.17;0.0;1.4;0.0;0.0;0.0;5.57;0.0;0.0;35.07;224.6;0.0;0.0;0.0;7.67;73.62;1.62;0.0;0.0;0.0;0.0;0.0;0.0;3.12;0.92
2023-07-30;7.58;32.72;0.0;0.0;0.0;0.0;0.0;8.33;0.0;0.0;1.23;0.0;0.0;0.0;21.17;0.0;0.0;259.67;483.93;0.0;0.0;0.0;1.25;114.63;14.13;0.0;0.0;0.0;0.0;0.0;15.65;0.0;7.57
2023-07-31;2.02;2.77;0.0;0.0;0.62;3.9;0.0;3.33;0.0;0.0;4.97;0.0;0.0;0.0;5.95;0.0;0.0;5.7;58.03000000000001;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;23.55;0.0;1.65;3.47
2023-08-01;4.57;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;0.0;0.0;0.0;1.25;0.0;0.0;11.8;61.510000000000005;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;39.67;0.0;0.0;1.08
2023-08-02;3.15;0.8;0.0;0.0;0.0;0.0;0.0;12.48;0.0;0.0;2.42;0.0;0.0;0.0;0.0;0.0;0.0;0.38;19.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-08-03;0.95;2.03;0.0;0.0;0.43;0.0;0.0;5.4;0.0;0.0;1.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.60999999999999;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;47.55;0.0;0.05;0.0
2023-08-04;0.73;0.0;0.0;0.0;0.0;0.0;0.0;8.95;0.0;0.0;0.65;0.0;0.0;0.0;0.0;0.0;0.0;43.02;98.63;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.55;0.0;0.0;0.6
